name,new-AL,new-D,new-AR
A01-D01-A01,2.0526,-2.8305,2.0526
A01-D01-A02,2.0526,-2.8305,2.04761
A01-D01-A03,2.0526,-2.8305,2.0553
A01-D01-A04,2.0526,-2.8305,2.0413
A01-D01-A05,2.0526,-2.8305,2.0471
A01-D01-A06,2.0526,-2.8305,2.0376
A01-D01-A07,2.0526,-2.8305,2.0364
A01-D01-A08,2.0526,-2.8305,2.0417
A01-D01-A09,2.0526,-2.8305,2.0468
A01-D01-A10,2.0526,-2.8305,2.0487
A01-D01-A11,2.0526,-2.8305,1.95575
A01-D01-A12,2.0526,-2.8305,2.0611
A01-D01-A13,2.0526,-2.8305,2.0386
A01-D01-A14,2.0526,-2.8305,2.0421
A01-D01-A15,2.0526,-2.8305,2.04055
A01-D01-A16,2.0526,-2.8305,2.0364
A01-D01-A17,2.0526,-2.8305,2.05756
A01-D01-A18,2.0526,-2.8305,2.0657
A01-D01-A19,2.0526,-2.8305,2.0385
A01-D01-A20,2.0526,-2.8305,1.92952
A01-D01-A21,2.0526,-2.8305,2.0019
A01-D01-A22,2.0526,-2.8305,1.99715
A01-D01-A23,2.0526,-2.8305,2.00205
A01-D01-A24,2.0526,-2.8305,2.0839
A01-D01-A25,2.0526,-2.8305,2.05522
A01-D01-A26,2.0526,-2.8305,1.92297
A01-D01-A27,2.0526,-2.8305,2.0775
A01-D01-A28,2.0526,-2.8305,2.0745
A01-D01-A29,2.0526,-2.8305,2.0737
A01-D01-A30,2.0526,-2.8305,1.982
A01-D01-A31,2.0526,-2.8305,2.303
A01-D01-A32,2.0526,-2.8305,2.0549
A01-D01-A33,2.0526,-2.8305,2.06
A01-D01-A34,2.0526,-2.8305,2.05475
A01-D01-A35,2.0526,-2.8305,2.018
A01-D01-A36,2.0526,-2.8305,2.06255
A01-D01-A37,2.0526,-2.8305,2.0434
A01-D01-A38,2.0526,-2.8305,2.0346
A01-D01-A39,2.0526,-2.8305,2.05155
A01-D01-A40,2.0526,-2.8305,2.0518
A01-D01-A41,2.0526,-2.8305,2.04075
A01-D02-A01,2.0526,-2.7884,2.0526
A01-D02-A02,2.0526,-2.7884,2.04761
A01-D02-A03,2.0526,-2.7884,2.0553
A01-D02-A04,2.0526,-2.7884,2.0413
A01-D02-A05,2.0526,-2.7884,2.0471
A01-D02-A06,2.0526,-2.7884,2.0376
A01-D02-A07,2.0526,-2.7884,2.0364
A01-D02-A08,2.0526,-2.7884,2.0417
A01-D02-A09,2.0526,-2.7884,2.0468
A01-D02-A10,2.0526,-2.7884,2.0487
A01-D02-A11,2.0526,-2.7884,1.95575
A01-D02-A12,2.0526,-2.7884,2.0611
A01-D02-A13,2.0526,-2.7884,2.0386
A01-D02-A14,2.0526,-2.7884,2.0421
A01-D02-A15,2.0526,-2.7884,2.04055
A01-D02-A16,2.0526,-2.7884,2.0364
A01-D02-A17,2.0526,-2.7884,2.05756
A01-D02-A18,2.0526,-2.7884,2.0657
A01-D02-A19,2.0526,-2.7884,2.0385
A01-D02-A20,2.0526,-2.7884,1.92952
A01-D02-A21,2.0526,-2.7884,2.0019
A01-D02-A22,2.0526,-2.7884,1.99715
A01-D02-A23,2.0526,-2.7884,2.00205
A01-D02-A24,2.0526,-2.7884,2.0839
A01-D02-A25,2.0526,-2.7884,2.05522
A01-D02-A26,2.0526,-2.7884,1.92297
A01-D02-A27,2.0526,-2.7884,2.0775
A01-D02-A28,2.0526,-2.7884,2.0745
A01-D02-A29,2.0526,-2.7884,2.0737
A01-D02-A30,2.0526,-2.7884,1.982
A01-D02-A31,2.0526,-2.7884,2.303
A01-D02-A32,2.0526,-2.7884,2.0549
A01-D02-A33,2.0526,-2.7884,2.06
A01-D02-A34,2.0526,-2.7884,2.05475
A01-D02-A35,2.0526,-2.7884,2.018
A01-D02-A36,2.0526,-2.7884,2.06255
A01-D02-A37,2.0526,-2.7884,2.0434
A01-D02-A38,2.0526,-2.7884,2.0346
A01-D02-A39,2.0526,-2.7884,2.05155
A01-D02-A40,2.0526,-2.7884,2.0518
A01-D02-A41,2.0526,-2.7884,2.04075
A01-D03-A01,2.0526,-2.8368,2.0526
A01-D03-A02,2.0526,-2.8368,2.04761
A01-D03-A03,2.0526,-2.8368,2.0553
A01-D03-A04,2.0526,-2.8368,2.0413
A01-D03-A05,2.0526,-2.8368,2.0471
A01-D03-A06,2.0526,-2.8368,2.0376
A01-D03-A07,2.0526,-2.8368,2.0364
