No.,Acceptor,ET1,AL,AR,D
115,DTCC-BC,1.4119,1.8208,1.8208,2.1636
95,NTIC-OMe-2V5,1.401,2.0476,2.0476,2.1074
93,NTIC-Me-2V5,1.3866,2.0558,2.0558,2.1074
97,NTIC-F-2V5,1.3803,2.0587,2.0587,2.1074
92,NTIC-Me-1V4,1.3754,2.0574,2.0574,2.1074
91,NTIC,1.3722,2.0526,2.0526,2.1074
98,FDICTF,1.3701,2.0526,2.0526,2.103
94,NTIC-OMe-1V4,1.353,2.0541,2.0541,2.1074
160,NOIC3,1.3504,2.0467,2.0467,1.9367
96,NTIC-F-1V4,1.3502,2.0396,2.0396,2.1074
45,IDTC,1.3375,2.0917,2.0917,1.9316
123,C8-ITCC,1.3313,2.0917,2.0917,1.9529
133,IDT-2B-2V5,1.3306,2.0558,2.0558,2.1147
49,IDTTC,1.3298,1.9116,1.9116,1.9316
46,ITC-2Br,1.3251,2.0364,2.0364,1.9316
135,IDT-OB-2V5,1.3251,2.0558,2.0558,2.1226
132,IDT-2B-1V4,1.3196,2.0574,2.0574,2.1147
50,IDTTTC,1.3184,1.8419,1.8419,1.9316
137,IDT-2O-2V5,1.3174,2.0558,2.0558,2.1248
51,ITBC,1.3169,1.8208,1.8208,1.9316
180,IDT,1.3168,2.0526,2.0526,2.1147
120,IDIC-2F-2V5,1.3143,2.0587,2.0587,2.1248
134,IDT-OB-1V4,1.3139,2.0574,2.0574,2.1226
181,IDT-OB,1.3114,2.0526,2.0526,2.1226
163,IDT6CN-M-2V5,1.307,2.0558,2.0558,2.0098
136,IDT-2O-1V4,1.3062,2.0574,2.0574,2.1248
172,ZITI-2V5,1.3055,2.0587,2.0587,1.8649
118,IDIC,1.3045,2.0526,2.0526,2.1248
47,ITC-2Br1,1.3038,1.9098,1.9098,1.9316
157,NOIC,1.3038,2.0467,2.0467,1.8367
78,ITzN-C9,1.2995,1.947,1.947,1.9312
121,IDIC-4F,1.2995,2.0467,2.0467,2.1248
153,MO-IDIC-2F-2V5,1.2971,2.0587,2.0587,2.0875
162,IDT6CN-M-1V4,1.2966,2.0574,2.0574,2.0098
39,oF-ITIC,1.2955,2.0526,2.0526,1.927
