No.,Acceptor,ET1,new-AL,new-AR,new-D
115,DTCC-BC,1.4119,2.0737,2.0737,-2.5985
95,NTIC-OMe-2V5,1.401,2.0518,2.0518,-2.733
93,NTIC-Me-2V5,1.3866,2.06,2.06,-2.733
97,NTIC-F-2V5,1.3803,2.0553,2.0553,-2.733
92,NTIC-Me-1V4,1.3754,2.0549,2.0549,-2.733
91,NTIC,1.3722,2.0526,2.0526,-2.733
98,FDICTF,1.3701,2.0526,2.0526,-2.6591
94,NTIC-OMe-1V4,1.353,2.05155,2.05155,-2.733
160,NOIC3,1.3504,2.04761,2.04761,-2.7586
96,NTIC-F-1V4,1.3502,2.0421,2.0421,-2.733
45,IDTC,1.3375,2.0839,2.0839,-2.8305
123,C8-ITCC,1.3313,2.0839,2.0839,-2.8311
133,IDT-2B-2V5,1.3306,2.06,2.06,-2.7884
49,IDTTC,1.3298,2.0775,2.0775,-2.8305
46,ITC-2Br,1.3251,2.05522,2.05522,-2.8305
135,IDT-OB-2V5,1.3251,2.06,2.06,-2.7933
132,IDT-2B-1V4,1.3196,2.0549,2.0549,-2.7884
50,IDTTTC,1.3184,2.0745,2.0745,-2.8305
137,IDT-2O-2V5,1.3174,2.06,2.06,-2.8002
51,ITBC,1.3169,2.0737,2.0737,-2.8305
180,IDT,1.3168,2.0526,2.0526,-2.7884
120,IDIC-2F-2V5,1.3143,2.0553,2.0553,-2.8002
134,IDT-OB-1V4,1.3139,2.0549,2.0549,-2.7933
181,IDT-OB,1.3114,2.0526,2.0526,-2.7933
163,IDT6CN-M-2V5,1.307,2.06,2.06,-2.8306
136,IDT-2O-1V4,1.3062,2.0549,2.0549,-2.8002
172,ZITI-2V5,1.3055,2.05531,2.05531,-2.8304
118,IDIC,1.3045,2.0526,2.0526,-2.8002
47,ITC-2Br1,1.3038,1.92297,1.92297,-2.8305
157,NOIC,1.3038,2.04761,2.04761,-2.8586
78,ITzN-C9,1.2995,2.05475,2.05475,-2.8309
121,IDIC-4F,1.2995,2.0476,2.0476,-2.8002
153,MO-IDIC-2F-2V5,1.2971,2.05531,2.05531,-2.8085
162,IDT6CN-M-1V4,1.2966,2.05485,2.05485,-2.8306
39,oF-ITIC,1.2955,2.0526,2.0526,-2.8097
14,IT-DM,1.2917,2.0611,2.0611,-2.8305
