No. ,Molecule name,ET1,AL,-D-,AR
1,DTCC-BC,1.4119,1.8208,2.1636,1.8208
2,NTIC-OMe-2V5,1.401,2.0476,2.1074,2.0476
3,NTIC-Me-2V5,1.3866,2.0558,2.1074,2.0558
4,NTIC-F-2V5,1.3803,2.0587,2.1074,2.0587
5,NTIC-Me-1V4,1.3754,2.0574,2.1074,2.0574
6,NTIC,1.3722,2.0526,2.1074,2.0526
7,FDICTF,1.3701,2.0526,2.103,2.0526
8,NTIC-OMe-1V4,1.353,2.0541,2.1074,2.0541
9,NOIC3,1.3504,2.0467,1.9367,2.0467
10,NTIC-F-1V4,1.3502,2.0396,2.1074,2.0396
11,IDTC,1.3375,2.0917,1.9316,2.0917
12,C8-ITCC,1.3313,2.0917,1.9529,2.0917
13,IDT-2B-2V5,1.3306,2.0558,2.1147,2.0558
14,IDTTC,1.3298,1.9116,1.9316,1.9116
15,ITC-2Br,1.3251,2.0364,1.9316,2.0364
16,IDT-OB-2V5,1.3251,2.0558,2.1226,2.0558
17,IDT-2B-1V4,1.3196,2.0574,2.1147,2.0574
18,IDTTTC,1.3184,1.8419,1.9316,1.8419
19,IDT-2O-2V5,1.3174,2.0558,2.1248,2.0558
20,ITBC,1.3169,1.8208,1.9316,1.8208
21,IDT,1.3168,2.0526,2.1147,2.0526
22,IDIC-2F-2V5,1.3143,2.0587,2.1248,2.0587
23,IDT-OB-1V4,1.3139,2.0574,2.1226,2.0574
24,IDT-OB,1.3114,2.0526,2.1226,2.0526
25,IDT6CN-M-2V5,1.307,2.0558,2.0098,2.0558
26,IDT-2O-1V4,1.3062,2.0574,2.1248,2.0574
27,ZITI-2V5,1.3055,2.0587,1.8649,2.0587
28,IDIC,1.3045,2.0526,2.1248,2.0526
29,ITC-2Br1,1.3038,1.9098,1.9316,1.9098
30,NOIC,1.3038,2.0467,1.8367,2.0467
31,ITzN-C9,1.2995,1.947,1.9312,1.947
32,IDIC-4F,1.2995,2.0467,2.1248,2.0467
33,MO-IDIC-2F-2V5,1.2971,2.0587,2.0875,2.0587
34,IDT6CN-M-1V4,1.2966,2.0574,2.0098,2.0574
35,oF-ITIC,1.2955,2.0526,1.927,2.0526
36,IT-DM,1.2917,2.0602,1.9316,2.0602
37,IT-M-2V5,1.2892,2.0558,1.9316,2.0558
38,a-IT-2OM,1.289,2.0526,1.9316,2.0403
39,ITIC-Th2F-2V5,1.289,2.0587,1.9216,2.0587
40,NOIC4,1.2885,2.0467,1.8768,2.0467
41,MO-IDIC,1.2879,2.0526,2.0875,2.0526
42,IDTCN,1.2875,1.9795,2.1147,1.9795
43,IDT8CN-M-2V5,1.2867,2.0558,1.8627,2.0558
44,ITCF,1.2853,2.0635,1.9316,2.0635
45,ITIC-Th,1.2842,2.0526,1.9216,2.0526
46,IDIC-2F-1V4,1.284,2.0396,2.1248,2.0396
47,MOIT-M-2V5,1.2833,2.0558,1.9312,2.0558
48,IDTT-OB-2V5,1.2832,2.0558,1.9376,2.0558
49,sp-mOEh-ITIC-M-2V5,1.2815,2.0558,1.9385,2.0558
50,FpO-ITIC,1.2807,2.0526,1.9275,2.0526
51,ITIC-2F-2V5,1.2797,2.0587,1.9316,2.0587
52,m-ITIC-2F-2V5,1.2796,2.0587,1.9309,2.0587
53,ITIC6-2F-2V5,1.2795,2.0587,1.9282,2.0587
54,IT-M-1V4,1.2791,2.0574,1.9316,2.0574
55,ITIC-OE,1.2788,2.0526,1.9303,2.0526
56,NOIC2,1.2788,2.0467,1.8509,2.0467
57,m-ITIC-O-EH,1.2786,2.0526,1.93,2.0526
58,ZITI-1V4,1.2784,2.0396,1.8649,2.0396
59,IDT6CN-Th,1.2778,1.9795,2.0006,1.9795
60,IDT8CN-M-1V4,1.277,2.0574,1.8627,2.0574
61,FINIC,1.2768,2.0467,1.8061,2.0467
