No. ,Molecule name,ET1,"ET1,A_L_new","ET1,D_new","ET1,A_R_new"
1,DTCC-BC,1.4119,2.0737,-2.5985,2.0737
2,NTIC-OMe-2V5,1.401,2.0518,-2.733,2.0518
3,NTIC-Me-2V5,1.3866,2.06,-2.733,2.06
4,NTIC-F-2V5,1.3803,2.0553,-2.733,2.0553
5,NTIC-Me-1V4,1.3754,2.0549,-2.733,2.0549
6,NTIC,1.3722,2.0526,-2.733,2.0526
7,FDICTF,1.3701,2.0526,-2.6591,2.0526
8,NTIC-OMe-1V4,1.353,2.0516,-2.733,2.0516
9,NOIC3,1.3504,2.0476,-2.7586,2.0476
10,NTIC-F-1V4,1.3502,2.0421,-2.733,2.0421
11,IDTC,1.3375,2.0839,-2.8305,2.0839
12,C8-ITCC,1.3313,2.0839,-2.8311,2.0839
13,IDT-2B-2V5,1.3306,2.06,-2.7884,2.06
14,IDTTC,1.3298,2.0775,-2.8305,2.0775
15,ITC-2Br,1.3251,2.0552,-2.8305,2.0552
16,IDT-OB-2V5,1.3251,2.06,-2.7933,2.06
17,IDT-2B-1V4,1.3196,2.0549,-2.7884,2.0549
18,IDTTTC,1.3184,2.0745,-2.8305,2.0745
19,IDT-2O-2V5,1.3174,2.06,-2.8002,2.06
20,ITBC,1.3169,2.0737,-2.8305,2.0737
21,IDT,1.3168,2.0526,-2.7884,2.0526
22,IDIC-2F-2V5,1.3143,2.0553,-2.8002,2.0553
23,IDT-OB-1V4,1.3139,2.0549,-2.7933,2.0549
24,IDT-OB,1.3114,2.0526,-2.7933,2.0526
25,IDT6CN-M-2V5,1.307,2.06,-2.8306,2.06
26,IDT-2O-1V4,1.3062,2.0549,-2.8002,2.0549
27,ZITI-2V5,1.3055,2.0553,-2.8304,2.0553
28,IDIC,1.3045,2.0526,-2.8002,2.0526
29,ITC-2Br1,1.3038,1.9286,-2.8305,1.9286
30,NOIC,1.3038,2.0476,-2.8586,2.0476
31,ITzN-C9,1.2995,2.0009,-2.8309,2.0009
32,IDIC-4F,1.2995,2.0476,-2.8002,2.0476
